Data,,,Translation,Help Functions,,,,,,,,,Code,Formatting
1633708863,173,2,Unit Flash Status,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
1633708863,174,128,Unit Alarm Status 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
1633708863,175,0,Alarm Group Status,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
1633708863,177,1,Special Func Output Off  (Func #1),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
1633708863,177,2,Special Func Output Off  (Func #2),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
1633708863,177,3,Special Func Output Off  (Func #3),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
1633708863,177,4,Special Func Output Off  (Func #4),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
1633708863,177,5,Special Func Output Off  (Func #5),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
1633708863,177,6,Special Func Output Off  (Func #6),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
1633708863,177,7,Special Func Output Off  (Func #7),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
1633708863,177,8,Special Func Output Off  (Func #8),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
1633708863,131,6,Coord Pattern  (Pattern #6),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,
1633708863,132,80,Coord Cycle Length = 80s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,133,54,Coord Offset = 54s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,134,13,Programmed Split 1 Length = 13s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,135,32,Programmed Split 2 Length = 32s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,136,0,Programmed Split 3 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,137,35,Programmed Split 4 Length = 35s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,138,0,Programmed Split 5 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,139,0,Programmed Split 6 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,140,0,Programmed Split 7 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,141,0,Programmed Split 8 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,142,0,Programmed Split 9 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,143,0,Programmed Split 10 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,144,0,Programmed Split 11 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,145,0,Programmed Split 12 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,146,0,Programmed Split 13 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,147,0,Programmed Split 14 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,148,0,Programmed Split 15 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,149,0,Programmed Split 16 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708863,151,1,Coord Phase Yield Pt  (Phase 1),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,
1633708863,151,3,Coord Phase Yield Pt  (Phase 3),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,
1633708863,2,2,Phase Check  (Phase 2),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708863,47,1,Phase Omit Off  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708863,49,1,Ped Omit Off  (Ped 1),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708863,81,2,Detector Off  (Veh Det #2),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708863,82,2,Detector On  (Veh Det #2),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708863,82,12,Detector On  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708864,81,16,Detector Off  (Veh Det #16),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708864,81,2,Detector Off  (Veh Det #2),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708864,9,2,Phase End Yellow Cl  (Phase 2),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708864,10,2,Phase Begin Red Cl  (Phase 2),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708864,64,1,Overlap Begin Red Cl  (Overlap  (Overlap A),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708864,82,2,Detector On  (Veh Det #2),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708864,81,12,Detector Off  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708864,82,12,Detector On  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708865,12,2,Phase Inactive  (Phase 2),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708865,11,2,Phase End Red Cl  (Phase 2),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708865,0,4,Phase On  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708865,1,4,Phase Begin Green  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708865,65,1,Overlap Off  (Overlap  (Overlap A),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708865,31,1,Barrier Term  (Preceding Phase 1),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708865,48,4,Ped Omit On  (Ped 4),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708865,41,2,Phase Hold Active  (Phase 2),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708865,82,14,Detector On  (Veh Det #14),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708866,81,12,Detector Off  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708868,82,11,Detector On  (Veh Det #11),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708870,81,11,Detector Off  (Veh Det #11),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708870,82,15,Detector On  (Veh Det #15),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708871,81,14,Detector Off  (Veh Det #14),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708871,3,4,Phase Min Complete  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708871,82,11,Detector On  (Veh Det #11),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708872,82,10,Detector On  (Veh Det #10),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708872,81,15,Detector Off  (Veh Det #15),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708874,81,10,Detector Off  (Veh Det #10),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708874,82,12,Detector On  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708874,82,13,Detector On  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708874,82,14,Detector On  (Veh Det #14),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708875,82,15,Detector On  (Veh Det #15),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708875,81,13,Detector Off  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708876,81,15,Detector Off  (Veh Det #15),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708876,81,14,Detector Off  (Veh Det #14),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708880,82,13,Detector On  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708881,81,13,Detector Off  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708883,82,13,Detector On  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708883,81,11,Detector Off  (Veh Det #11),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708883,81,13,Detector Off  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708884,82,13,Detector On  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708884,46,4,Phase Omit On  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708885,81,13,Detector Off  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708885,82,13,Detector On  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708886,81,13,Detector Off  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708889,81,4,Detector Off  (Veh Det #4),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708889,44,4,Phase Call Dropped  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708892,7,4,Phase Green Term  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708892,8,4,Phase Begin Yellow Cl  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708892,4,4,Phase Gap Out  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708893,82,14,Detector On  (Veh Det #14),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708893,82,4,Detector On  (Veh Det #4),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708893,2,4,Phase Check  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708893,43,4,Phase Call Registered  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708894,81,14,Detector Off  (Veh Det #14),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708895,6,4,Phase Force Off  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708895,81,4,Detector Off  (Veh Det #4),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708895,82,14,Detector On  (Veh Det #14),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708896,9,4,Phase End Yellow Cl  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708896,10,4,Phase Begin Red Cl  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708897,82,4,Detector On  (Veh Det #4),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708897,81,14,Detector Off  (Veh Det #14),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708897,82,11,Detector On  (Veh Det #11),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708897,12,4,Phase Inactive  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708897,11,4,Phase End Red Cl  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708897,0,1,Phase On  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708897,1,1,Phase Begin Green  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708897,61,1,Overlap Begin Green  (Overlap  (Overlap A),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708897,31,1,Barrier Term  (Preceding Phase 1),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708897,48,1,Ped Omit On  (Ped 1),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708899,82,10,Detector On  (Veh Det #10),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708900,46,1,Phase Omit On  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708900,81,10,Detector Off  (Veh Det #10),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708901,82,9,Detector On  (Veh Det #9),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708901,81,9,Detector Off  (Veh Det #9),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708902,82,15,Detector On  (Veh Det #15),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708903,3,1,Phase Min Complete  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708904,82,13,Detector On  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708905,81,13,Detector Off  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708905,82,9,Detector On  (Veh Det #9),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708905,7,1,Phase Green Term  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708905,8,1,Phase Begin Yellow Cl  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708905,6,1,Phase Force Off  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708905,81,9,Detector Off  (Veh Det #9),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708905,2,1,Phase Check  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708906,82,16,Detector On  (Veh Det #16),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708906,81,16,Detector Off  (Veh Det #16),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708909,9,1,Phase End Yellow Cl  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708909,10,1,Phase Begin Red Cl  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708910,81,1,Detector Off  (Veh Det #1),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708910,44,1,Phase Call Dropped  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708910,12,1,Phase Inactive  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708910,11,1,Phase End Red Cl  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708910,0,2,Phase On  (Phase 2),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708910,1,2,Phase Begin Green  (Phase 2),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708910,21,2,Ped Begin Walk  (Ped 2),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708910,1102,2,Bike Call Off  (Phase 2),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708910,1103,2,Bike Call On  (Phase 2),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708913,131,45,Coord Pattern  (Pattern #45),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,
1633708913,132,90,Coord Cycle Length = 90s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,133,70,Coord Offset = 70s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,134,13,Programmed Split 1 Length = 13s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,135,42,Programmed Split 2 Length = 42s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,136,0,Programmed Split 3 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,137,35,Programmed Split 4 Length = 35s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,138,0,Programmed Split 5 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,139,0,Programmed Split 6 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,140,0,Programmed Split 7 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,141,0,Programmed Split 8 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,142,0,Programmed Split 9 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,143,0,Programmed Split 10 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,144,0,Programmed Split 11 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,145,0,Programmed Split 12 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,146,0,Programmed Split 13 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,147,0,Programmed Split 14 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,148,0,Programmed Split 15 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,149,0,Programmed Split 16 Length = 0s,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,
1633708913,150,5,Coord Cycle State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
1633708913,150,2,Coord Cycle State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
1633708915,81,12,Detector Off  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708917,82,10,Detector On  (Veh Det #10),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708917,82,12,Detector On  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708917,81,12,Detector Off  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708917,82,12,Detector On  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708917,81,10,Detector Off  (Veh Det #10),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708917,81,11,Detector Off  (Veh Det #11),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708918,3,2,Phase Min Complete  (Phase 2),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708919,81,12,Detector Off  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708920,82,12,Detector On  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708921,81,12,Detector Off  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708922,82,11,Detector On  (Veh Det #11),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708922,81,15,Detector Off  (Veh Det #15),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708923,81,11,Detector Off  (Veh Det #11),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708924,82,12,Detector On  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708924,81,12,Detector Off  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708926,82,11,Detector On  (Veh Det #11),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708927,81,11,Detector Off  (Veh Det #11),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708928,82,10,Detector On  (Veh Det #10),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708929,81,10,Detector Off  (Veh Det #10),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708930,82,11,Detector On  (Veh Det #11),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708931,81,11,Detector Off  (Veh Det #11),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708931,82,10,Detector On  (Veh Det #10),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708931,82,9,Detector On  (Veh Det #9),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708932,81,10,Detector Off  (Veh Det #10),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708932,81,9,Detector Off  (Veh Det #9),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708932,82,12,Detector On  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708932,82,9,Detector On  (Veh Det #9),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708932,81,12,Detector Off  (Veh Det #12),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708933,82,16,Detector On  (Veh Det #16),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708933,81,9,Detector Off  (Veh Det #9),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708933,82,1,Detector On  (Veh Det #1),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708933,2,1,Phase Check  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708933,43,1,Phase Call Registered  (Phase 1),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708933,81,16,Detector Off  (Veh Det #16),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
