Data,,,Translation,,Code,Formatting
1633708929,82,16,Detector On  (Veh Det #16),,,
1633708930,81,16,Detector Off  (Veh Det #16),,,
1633708930,82,1,Detector On  (Veh Det #1),,,
1633708930,2,1,Phase Check  (Phase 1),,,
1633708930,43,1,Phase Call Registered  (Phase 1),,,
1633708930,82,15,Detector On  (Veh Det #15),,,
1633708930,46,4,Phase Omit On  (Phase 4),,,
1633708931,81,15,Detector Off  (Veh Det #15),,,
1633708937,82,11,Detector On  (Veh Det #11),,,
1633708939,82,14,Detector On  (Veh Det #14),,,
1633708939,81,14,Detector Off  (Veh Det #14),,,
1633708939,81,11,Detector Off  (Veh Det #11),,,
1633708940,82,12,Detector On  (Veh Det #12),,,
1633708940,82,15,Detector On  (Veh Det #15),,,
1633708940,82,10,Detector On  (Veh Det #10),,,
1633708941,81,15,Detector Off  (Veh Det #15),,,
1633708941,81,10,Detector Off  (Veh Det #10),,,
1633708941,7,4,Phase Green Term  (Phase 4),,,
1633708941,8,4,Phase Begin Yellow Cl  (Phase 4),,,
1633708941,6,4,Phase Force Off  (Phase 4),,,
1633708941,2,4,Phase Check  (Phase 4),,,
1633708943,82,15,Detector On  (Veh Det #15),,,
1633708943,81,12,Detector Off  (Veh Det #12),,,
1633708943,81,15,Detector Off  (Veh Det #15),,,
1633708943,46,1,Phase Omit On  (Phase 1),,,
1633708943,90,4,Ped Detector On  (Ped Det #4),,,
1633708943,45,4,Ped Call Registered  (Ped 4),,,
1633708943,89,4,Ped Detector Off  (Ped Det #4),,,
1633708944,90,4,Ped Detector On  (Ped Det #4),,,
1633708944,89,4,Ped Detector Off  (Ped Det #4),,,
1633708945,9,4,Phase End Yellow Cl  (Phase 4),,,
1633708945,10,4,Phase Begin Red Cl  (Phase 4),,,
1633708945,82,10,Detector On  (Veh Det #10),,,
1633708946,12,4,Phase Inactive  (Phase 4),,,
1633708946,11,4,Phase End Red Cl  (Phase 4),,,
1633708946,0,1,Phase On  (Phase 1),,,
1633708946,1,1,Phase Begin Green  (Phase 1),,,
1633708946,61,1,Overlap Begin Green  (Overlap  (Overlap A),,,
1633708946,31,1,Barrier Term  (Preceding Phase 1),,,
1633708947,81,10,Detector Off  (Veh Det #10),,,
1633708948,82,15,Detector On  (Veh Det #15),,,
1633708949,81,15,Detector Off  (Veh Det #15),,,
1633708949,82,15,Detector On  (Veh Det #15),,,
1633708950,81,15,Detector Off  (Veh Det #15),,,
1633708950,82,10,Detector On  (Veh Det #10),,,
1633708950,81,10,Detector Off  (Veh Det #10),,,
1633708951,82,10,Detector On  (Veh Det #10),,,
1633708951,81,1,Detector Off  (Veh Det #1),,,
1633708951,44,1,Phase Call Dropped  (Phase 1),,,
1633708952,3,1,Phase Min Complete  (Phase 1),,,
1633708953,81,10,Detector Off  (Veh Det #10),,,
1633708953,7,1,Phase Green Term  (Phase 1),,,
1633708953,8,1,Phase Begin Yellow Cl  (Phase 1),,,
1633708953,4,1,Phase Gap Out  (Phase 1),,,
1633708954,82,10,Detector On  (Veh Det #10),,,
1633708954,6,1,Phase Force Off  (Phase 1),,,
1633708954,81,10,Detector Off  (Veh Det #10),,,
1633708956,82,9,Detector On  (Veh Det #9),,,
1633708956,81,9,Detector Off  (Veh Det #9),,,
1633708957,9,1,Phase End Yellow Cl  (Phase 1),,,
1633708957,10,1,Phase Begin Red Cl  (Phase 1),,,
1633708958,12,1,Phase Inactive  (Phase 1),,,
1633708958,11,1,Phase End Red Cl  (Phase 1),,,
1633708958,0,2,Phase On  (Phase 2),,,
1633708958,1,2,Phase Begin Green  (Phase 2),,,
1633708958,21,2,Ped Begin Walk  (Ped 2),,,
1633708958,1102,2,Bike Call Off  (Phase 2),,,
1633708958,1103,2,Bike Call On  (Phase 2),,,
1633708959,150,5,Coord Cycle State,,,
1633708959,48,1,Ped Omit On  (Ped 1),,,
1633708959,150,1,Coord Cycle State,,,
1633708962,82,13,Detector On  (Veh Det #13),,,
1633708963,81,13,Detector Off  (Veh Det #13),,,
1633708965,82,11,Detector On  (Veh Det #11),,,
1633708966,82,13,Detector On  (Veh Det #13),,,
1633708966,82,14,Detector On  (Veh Det #14),,,
1633708966,3,2,Phase Min Complete  (Phase 2),,,
1633708967,81,14,Detector Off  (Veh Det #14),,,
1633708967,81,13,Detector Off  (Veh Det #13),,,
1633708968,81,11,Detector Off  (Veh Det #11),,,
1633708969,82,9,Detector On  (Veh Det #9),,,
1633708969,82,11,Detector On  (Veh Det #11),,,
1633708970,81,9,Detector Off  (Veh Det #9),,,
1633708971,81,11,Detector Off  (Veh Det #11),,,
1633708971,82,9,Detector On  (Veh Det #9),,,
1633708971,82,16,Detector On  (Veh Det #16),,,
1633708971,81,9,Detector Off  (Veh Det #9),,,
1633708972,82,1,Detector On  (Veh Det #1),,,
1633708972,2,1,Phase Check  (Phase 1),,,
1633708972,43,1,Phase Call Registered  (Phase 1),,,
1633708972,81,16,Detector Off  (Veh Det #16),,,
1633708972,82,10,Detector On  (Veh Det #10),,,
1633708973,81,10,Detector Off  (Veh Det #10),,,
1633708975,82,10,Detector On  (Veh Det #10),,,
1633708975,81,2,Detector Off  (Veh Det #2),,,
1633708975,82,2,Detector On  (Veh Det #2),,,
1633708975,82,9,Detector On  (Veh Det #9),,,
1633708976,81,10,Detector Off  (Veh Det #10),,,
1633708976,82,11,Detector On  (Veh Det #11),,,
1633708976,81,9,Detector Off  (Veh Det #9),,,
1633708976,81,11,Detector Off  (Veh Det #11),,,
1633708978,82,11,Detector On  (Veh Det #11),,,
1633708978,82,10,Detector On  (Veh Det #10),,,
1633708979,81,10,Detector Off  (Veh Det #10),,,
1633708979,81,11,Detector Off  (Veh Det #11),,,
1633708980,82,16,Detector On  (Veh Det #16),,,
1633708981,81,2,Detector Off  (Veh Det #2),,,
1633708981,22,2,Ped Begin Clearance  (Ped 2),,,
1633708981,42,2,Phase Hold Released  (Phase 2),,,
1633708981,46,2,Phase Omit On  (Phase 2),,,
1633708981,82,10,Detector On  (Veh Det #10),,,
1633708982,82,2,Detector On  (Veh Det #2),,,
1633708982,82,15,Detector On  (Veh Det #15),,,
1633708982,82,14,Detector On  (Veh Det #14),,,
1633708982,81,10,Detector Off  (Veh Det #10),,,
1633708982,81,16,Detector Off  (Veh Det #16),,,
1633708983,82,11,Detector On  (Veh Det #11),,,
1633708983,81,11,Detector Off  (Veh Det #11),,,
1633708985,81,2,Detector Off  (Veh Det #2),,,
1633708986,81,14,Detector Off  (Veh Det #14),,,
1633708987,82,2,Detector On  (Veh Det #2),,,
1633708987,82,10,Detector On  (Veh Det #10),,,
1633708987,82,11,Detector On  (Veh Det #11),,,
1633708987,81,10,Detector Off  (Veh Det #10),,,
1633708987,81,11,Detector Off  (Veh Det #11),,,
1633708989,81,2,Detector Off  (Veh Det #2),,,
1633708991,82,10,Detector On  (Veh Det #10),,,
1633708991,82,11,Detector On  (Veh Det #11),,,
1633708991,82,2,Detector On  (Veh Det #2),,,
1633708991,81,10,Detector Off  (Veh Det #10),,,
1633708991,82,10,Detector On  (Veh Det #10),,,
1633708991,81,11,Detector Off  (Veh Det #11),,,
1633708992,81,10,Detector Off  (Veh Det #10),,,
1633708993,81,2,Detector Off  (Veh Det #2),,,
1633708994,82,12,Detector On  (Veh Det #12),,,
1633708995,82,2,Detector On  (Veh Det #2),,,
1633708995,81,12,Detector Off  (Veh Det #12),,,
1633708996,151,4,Coord Phase Yield Pt  (Phase 4),,,
1633708996,7,2,Phase Green Term  (Phase 2),,,
1633708996,8,2,Phase Begin Yellow Cl  (Phase 2),,,
1633708996,23,2,Ped Begin Don’t Walk  (Ped 2),,,
1633708996,47,2,Phase Omit Off  (Phase 2),,,
1633708996,47,4,Phase Omit Off  (Phase 4),,,
1633708996,49,4,Ped Omit Off  (Ped 4),,,
1633708996,63,1,Overlap Begin Yellow Cl  (Overlap  (Overlap A),,,
1633708996,151,1,Coord Phase Yield Pt  (Phase 1),,,
1633708996,151,3,Coord Phase Yield Pt  (Phase 3),,,
1633708996,2,2,Phase Check  (Phase 2),,,
1633708996,47,1,Phase Omit Off  (Phase 1),,,
1633708996,49,1,Ped Omit Off  (Ped 1),,,
1633708997,82,10,Detector On  (Veh Det #10),,,
1633708997,82,12,Detector On  (Veh Det #12),,,
1633708997,81,10,Detector Off  (Veh Det #10),,,
1633708997,82,10,Detector On  (Veh Det #10),,,
1633708998,81,10,Detector Off  (Veh Det #10),,,
1633708998,81,12,Detector Off  (Veh Det #12),,,
1633708999,82,11,Detector On  (Veh Det #11),,,
1633709000,81,2,Detector Off  (Veh Det #2),,,
1633709000,82,2,Detector On  (Veh Det #2),,,
1633709000,9,2,Phase End Yellow Cl  (Phase 2),,,
1633709000,10,2,Phase Begin Red Cl  (Phase 2),,,
1633709000,64,1,Overlap Begin Red Cl  (Overlap  (Overlap A),,,
1633709000,81,11,Detector Off  (Veh Det #11),,,
1633709001,12,2,Phase Inactive  (Phase 2),,,
1633709001,11,2,Phase End Red Cl  (Phase 2),,,
1633709001,0,4,Phase On  (Phase 4),,,
1633709001,1,4,Phase Begin Green  (Phase 4),,,
1633709001,21,4,Ped Begin Walk  (Ped 4),,,
1633709001,65,1,Overlap Off  (Overlap  (Overlap A),,,
1633709001,31,1,Barrier Term  (Preceding Phase 1),,,
1633709001,48,4,Ped Omit On  (Ped 4),,,
1633709001,41,2,Phase Hold Active  (Phase 2),,,
1633709002,82,13,Detector On  (Veh Det #13),,,
1633709002,81,13,Detector Off  (Veh Det #13),,,
1633709003,82,11,Detector On  (Veh Det #11),,,
1633709005,81,11,Detector Off  (Veh Det #11),,,
1633709005,81,15,Detector Off  (Veh Det #15),,,
1633709005,82,14,Detector On  (Veh Det #14),,,
1633709006,82,12,Detector On  (Veh Det #12),,,
1633709007,81,14,Detector Off  (Veh Det #14),,,
1633709007,82,14,Detector On  (Veh Det #14),,,
1633709007,3,4,Phase Min Complete  (Phase 4),,,
1633709008,81,12,Detector Off  (Veh Det #12),,,
1633709008,22,4,Ped Begin Clearance  (Ped 4),,,
1633709009,82,15,Detector On  (Veh Det #15),,,
1633709009,81,14,Detector Off  (Veh Det #14),,,
1633709010,81,15,Detector Off  (Veh Det #15),,,
1633709011,82,13,Detector On  (Veh Det #13),,,
1633709012,81,13,Detector Off  (Veh Det #13),,,
1633709013,82,14,Detector On  (Veh Det #14),,,
1633709015,81,14,Detector Off  (Veh Det #14),,,
1633709016,82,13,Detector On  (Veh Det #13),,,
1633709018,81,13,Detector Off  (Veh Det #13),,,
1633709020,46,4,Phase Omit On  (Phase 4),,,
1633709023,81,4,Detector Off  (Veh Det #4),,,
1633709023,44,4,Phase Call Dropped  (Phase 4),,,
1633709026,4,4,Phase Gap Out  (Phase 4),,,
1633709027,82,15,Detector On  (Veh Det #15),,,
1633709028,82,4,Detector On  (Veh Det #4),,,
1633709028,43,4,Phase Call Registered  (Phase 4),,,
1633709028,81,15,Detector Off  (Veh Det #15),,,
1633709028,82,13,Detector On  (Veh Det #13),,,
