Data,,,Translation,,Code,Formatting
1633705268,82,10,Detector On  (Veh Det #1),,,
1633705268,82,1,Phase Check  (Phase 1),,,
1633705268,2,1,Phase Call Registered  (Phase 1),,,
1633705269,43,1,Detector Off  (Veh Det #10),,,
1633705269,81,10,Detector Off  (Veh Det #16),,,
1633705269,81,16,Detector On  (Veh Det #9),,,
1633705269,82,9,Detector Off  (Veh Det #9),,,
1633705271,81,9,Detector On  (Veh Det #16),,,
1633705272,82,16,Detector Off  (Veh Det #16),,,
1633705276,81,16,Detector On  (Veh Det #16),,,
1633705278,82,16,Detector Off  (Veh Det #16),,,
1633705278,81,16,Coord Phase Yield Pt  (Phase 4),,,
1633705278,151,4,Phase Green Term  (Phase 2),,,
1633705278,7,2,Phase Begin Yellow Cl  (Phase 2),,,
1633705278,8,2,Ped Begin Don’t Walk  (Ped 2),,,
1633705278,23,2,Phase Omit Off  (Phase 2),,,
1633705278,47,2,Phase Omit Off  (Phase 4),,,
1633705278,47,4,Ped Omit Off  (Ped 4),,,
1633705278,49,4,Overlap Begin Yellow Cl  (Overlap  (Overlap A),,,
1633705278,63,1,Coord Phase Yield Pt  (Phase 1),,,
1633705278,151,1,Coord Phase Yield Pt  (Phase 3),,,
1633705278,151,3,Phase Check  (Phase 2),,,
1633705278,2,2,Phase Omit Off  (Phase 1),,,
1633705278,47,1,Ped Omit Off  (Ped 1),,,
1633705281,49,1,Detector On  (Veh Det #10),,,
1633705282,82,10,Detector Off  (Veh Det #11),,,
1633705282,81,11,Detector On  (Veh Det #9),,,
1633705282,82,9,Detector Off  (Veh Det #10),,,
1633705282,81,10,Detector Off  (Veh Det #9),,,
1633705282,81,9,Detector On  (Veh Det #12),,,
1633705282,82,12,Detector Off  (Veh Det #12),,,
1633705282,81,12,Phase End Yellow Cl  (Phase 2),,,
1633705282,9,2,Phase Begin Red Cl  (Phase 2),,,
1633705282,10,2,Overlap Begin Red Cl  (Overlap  (Overlap A),,,
1633705283,64,1,Detector On  (Veh Det #10),,,
1633705283,82,10,Detector Off  (Veh Det #10),,,
1633705283,81,10,Phase Inactive  (Phase 2),,,
1633705283,12,2,Phase End Red Cl  (Phase 2),,,
1633705283,11,2,Phase On  (Phase 4),,,
1633705283,0,4,Phase Begin Green  (Phase 4),,,
1633705283,1,4,Overlap Off  (Overlap  (Overlap A),,,
1633705283,65,1,Barrier Term  (Preceding Phase 1),,,
1633705283,31,1,Ped Omit On  (Ped 4),,,
1633705283,48,4,Phase Hold Active  (Phase 2),,,
1633705286,41,2,Detector On  (Veh Det #16),,,
1633705287,82,16,Detector Off  (Veh Det #16),,,
1633705287,81,16,Detector On  (Veh Det #11),,,
1633705289,82,11,Phase Min Complete  (Phase 4),,,
1633705299,3,4,Detector Off  (Veh Det #14),,,
1633705300,81,14,Detector On  (Veh Det #14),,,
1633705301,82,14,Detector Off  (Veh Det #14),,,
1633705302,81,14,Detector On  (Veh Det #14),,,
1633705302,82,14,Phase Omit On  (Phase 4),,,
1633705305,46,4,Detector Off  (Veh Det #14),,,
1633705307,81,14,Detector On  (Veh Det #14),,,
1633705308,82,14,Detector Off  (Veh Det #14),,,
1633705308,81,14,Detector Off  (Veh Det #4),,,
1633705308,81,4,Phase Call Dropped  (Phase 4),,,
1633705311,44,4,Phase Green Term  (Phase 4),,,
1633705311,7,4,Phase Begin Yellow Cl  (Phase 4),,,
1633705311,8,4,Phase Gap Out  (Phase 4),,,
1633705312,4,4,Detector On  (Veh Det #14),,,
1633705313,82,14,Detector On  (Veh Det #13),,,
1633705313,82,13,Detector On  (Veh Det #4),,,
1633705313,82,4,Phase Check  (Phase 4),,,
1633705313,2,4,Phase Call Registered  (Phase 4),,,
1633705313,43,4,Detector Off  (Veh Det #13),,,
1633705313,81,13,Phase Force Off  (Phase 4),,,
1633705314,6,4,Ped Detector On  (Ped Det #4),,,
1633705314,90,4,Ped Call Registered  (Ped 4),,,
1633705314,45,4,Ped Detector Off  (Ped Det #4),,,
1633705314,89,4,Detector Off  (Veh Det #14),,,
1633705315,81,14,Phase End Yellow Cl  (Phase 4),,,
1633705315,9,4,Phase Begin Red Cl  (Phase 4),,,
1633705316,10,4,Phase Inactive  (Phase 4),,,
1633705316,12,4,Phase End Red Cl  (Phase 4),,,
1633705316,11,4,Phase On  (Phase 1),,,
1633705316,0,1,Phase Begin Green  (Phase 1),,,
1633705316,1,1,Overlap Begin Green  (Overlap  (Overlap A),,,
1633705316,61,1,Barrier Term  (Preceding Phase 1),,,
1633705316,31,1,Ped Omit On  (Ped 1),,,
1633705318,48,1,Phase Omit On  (Phase 1),,,
1633705321,46,1,Detector On  (Veh Det #16),,,
1633705322,82,16,Detector Off  (Veh Det #16),,,
1633705322,81,16,Phase Min Complete  (Phase 1),,,
1633705324,3,1,Detector On  (Veh Det #16),,,
1633705324,82,16,Phase Green Term  (Phase 1),,,
1633705324,7,1,Phase Begin Yellow Cl  (Phase 1),,,
1633705324,8,1,Phase Force Off  (Phase 1),,,
1633705324,6,1,Phase Check  (Phase 1),,,
1633705328,2,1,Phase End Yellow Cl  (Phase 1),,,
1633705328,9,1,Phase Begin Red Cl  (Phase 1),,,
1633705329,10,1,Phase Inactive  (Phase 1),,,
1633705329,12,1,Phase End Red Cl  (Phase 1),,,
1633705329,11,1,Phase On  (Phase 2),,,
1633705329,0,2,Phase Begin Green  (Phase 2),,,
1633705329,1,2,Ped Begin Walk  (Ped 2),,,
1633705329,21,2,Bike Call Off  (Phase 2),,,
1633705329,1102,2,Bike Call On  (Phase 2),,,
1633705331,1103,2,Detector Off  (Veh Det #16),,,
1633705331,81,16,Detector Off  (Veh Det #1),,,
1633705331,81,1,Coord Cycle State,,,
1633705331,150,5,Phase Call Dropped  (Phase 1),,,
1633705332,44,1,Coord Cycle State,,,
1633705334,150,1,Detector Off  (Veh Det #11),,,
1633705334,81,11,Detector On  (Veh Det #12),,,
1633705334,82,12,Detector On  (Veh Det #11),,,
1633705334,82,11,Detector Off  (Veh Det #11),,,
1633705334,81,11,Detector Off  (Veh Det #12),,,
1633705335,81,12,Detector On  (Veh Det #11),,,
1633705337,82,11,Phase Min Complete  (Phase 2),,,
1633705338,3,2,Detector On  (Veh Det #16),,,
1633705338,82,16,Detector Off  (Veh Det #11),,,
1633705339,81,11,Detector Off  (Veh Det #16),,,
1633705339,81,16,Detector On  (Veh Det #16),,,
1633705339,82,16,Detector On  (Veh Det #11),,,
1633705339,82,11,Detector Off  (Veh Det #16),,,
1633705339,81,16,Detector On  (Veh Det #1),,,
1633705339,82,1,Phase Check  (Phase 1),,,
1633705339,2,1,Phase Call Registered  (Phase 1),,,
1633705339,43,1,Detector On  (Veh Det #10),,,
1633705340,82,10,Detector On  (Veh Det #9),,,
1633705340,82,9,Detector Off  (Veh Det #10),,,
1633705341,81,10,Detector Off  (Veh Det #9),,,
1633705341,81,9,Detector On  (Veh Det #10),,,
1633705341,82,10,Detector Off  (Veh Det #11),,,
1633705341,81,11,Detector Off  (Veh Det #10),,,
1633705342,81,10,Detector On  (Veh Det #10),,,
1633705342,82,10,Detector On  (Veh Det #11),,,
1633705342,82,11,Detector Off  (Veh Det #10),,,
1633705342,81,10,Detector On  (Veh Det #10),,,
1633705343,82,10,Detector Off  (Veh Det #10),,,
1633705343,81,10,Detector Off  (Veh Det #11),,,
1633705343,81,11,Ped Begin Clearance  (Ped 2),,,
1633705343,22,2,Phase Hold Released  (Phase 2),,,
1633705343,42,2,Phase Omit On  (Phase 2),,,
1633705344,46,2,Detector On  (Veh Det #15),,,
1633705344,82,15,Detector On  (Veh Det #9),,,
1633705345,82,9,Detector On  (Veh Det #11),,,
1633705345,82,11,Detector Off  (Veh Det #15),,,
1633705345,81,15,Detector Off  (Veh Det #9),,,
1633705345,81,9,Detector Off  (Veh Det #2),,,
1633705346,81,2,Detector On  (Veh Det #2),,,
1633705346,82,2,Detector Off  (Veh Det #11),,,
1633705348,81,11,Detector On  (Veh Det #11),,,
1633705348,82,11,Detector Off  (Veh Det #2),,,
1633705348,81,2,Detector On  (Veh Det #2),,,
1633705349,82,2,Detector Off  (Veh Det #11),,,
1633705350,81,11,Detector On  (Veh Det #9),,,
1633705351,82,9,Detector On  (Veh Det #11),,,
1633705351,82,11,Detector Off  (Veh Det #2),,,
1633705351,81,2,Detector On  (Veh Det #2),,,
1633705351,82,2,Detector On  (Veh Det #16),,,
1633705351,82,16,Detector Off  (Veh Det #9),,,
1633705351,81,9,Detector Off  (Veh Det #11),,,
1633705352,81,11,Detector Off  (Veh Det #16),,,
1633705352,81,16,Detector On  (Veh Det #13),,,
1633705353,82,13,Detector Off  (Veh Det #2),,,
1633705353,81,2,Detector On  (Veh Det #15),,,
1633705354,82,15,Detector Off  (Veh Det #13),,,
1633705356,81,13,Detector On  (Veh Det #12),,,
1633705356,82,12,Detector On  (Veh Det #11),,,
1633705356,82,11,Detector On  (Veh Det #2),,,
1633705357,82,2,Detector Off  (Veh Det #11),,,
1633705357,81,11,Detector Off  (Veh Det #12),,,
1633705358,81,12,Coord Phase Yield Pt  (Phase 4),,,
1633705358,151,4,Phase Green Term  (Phase 2),,,
1633705358,7,2,Phase Begin Yellow Cl  (Phase 2),,,
1633705358,8,2,Ped Begin Don’t Walk  (Ped 2),,,
1633705358,23,2,Phase Omit Off  (Phase 2),,,
1633705358,47,2,Phase Omit Off  (Phase 4),,,
1633705358,47,4,Ped Omit Off  (Ped 4),,,
1633705358,49,4,Overlap Begin Yellow Cl  (Overlap  (Overlap A),,,
1633705358,63,1,Coord Phase Yield Pt  (Phase 1),,,
1633705358,151,1,Coord Phase Yield Pt  (Phase 3),,,
1633705358,151,3,Phase Check  (Phase 2),,,
1633705358,2,2,Phase Omit Off  (Phase 1),,,
1633705358,47,1,Ped Omit Off  (Ped 1),,,
1633705359,49,1,Detector Off  (Veh Det #2),,,
1633705359,81,2,Detector On  (Veh Det #11),,,
1633705360,82,11,Detector On  (Veh Det #2),,,
1633705360,82,2,Detector Off  (Veh Det #11),,,
1633705361,81,11,Detector On  (Veh Det #13),,,
1633705362,82,13,Detector Off  (Veh Det #2),,,
1633705362,81,2,Phase End Yellow Cl  (Phase 2),,,
1633705362,9,2,Phase Begin Red Cl  (Phase 2),,,
1633705362,10,2,Overlap Begin Red Cl  (Overlap  (Overlap A),,,
1633705363,64,1,Detector On  (Veh Det #11),,,
1633705363,82,11,Phase Inactive  (Phase 2),,,
1633705363,12,2,Phase End Red Cl  (Phase 2),,,
1633705363,11,2,Phase On  (Phase 4),,,
1633705363,0,4,Phase Begin Green  (Phase 4),,,
1633705363,1,4,Ped Begin Walk  (Ped 4),,,
1633705363,21,4,Overlap Off  (Overlap  (Overlap A),,,
1633705363,65,1,Barrier Term  (Preceding Phase 1),,,
1633705363,31,1,Ped Omit On  (Ped 4),,,
1633705363,48,4,Phase Hold Active  (Phase 2),,,
1633705364,41,2,Detector Off  (Veh Det #13),,,
1633705364,81,13,Detector On  (Veh Det #2),,,
1633705364,82,2,Detector Off  (Veh Det #11),,,
1633705365,81,11,Detector On  (Veh Det #12),,,
1633705366,82,12,Detector Off  (Veh Det #12),,,
1633705369,81,12,Phase Min Complete  (Phase 4),,,
1633705369,3,4,Detector On  (Veh Det #14),,,
1633705370,82,14,Detector Off  (Veh Det #15),,,
1633705370,81,15,Ped Begin Clearance  (Ped 4),,,
1633705374,22,4,Detector Off  (Veh Det #14),,,
1633705375,81,14,Detector On  (Veh Det #14),,,
1633705378,82,14,Detector Off  (Veh Det #14),,,
1633705379,81,14,Detector On  (Veh Det #14),,,
1633705379,82,14,Detector On  (Veh Det #13),,,
1633705379,82,13,Detector On  (Veh Det #12),,,
1633705380,82,12,Detector Off  (Veh Det #13),,,
1633705381,81,13,Detector Off  (Veh Det #14),,,
1633705382,81,14,Detector On  (Veh Det #14),,,
1633705382,82,14,Phase Omit On  (Phase 4),,,
1633705383,46,4,Detector Off  (Veh Det #14),,,
1633705385,81,14,Detector Off  (Veh Det #4),,,
1633705385,81,4,Phase Call Dropped  (Phase 4),,,
1633705387,44,4,Detector On  (Veh Det #11),,,
1633705388,82,11,Phase Gap Out  (Phase 4),,,
1633705390,4,4,Detector On  (Veh Det #13),,,
1633705391,82,13,Detector On  (Veh Det #4),,,
1633705391,82,4,Phase Call Registered  (Phase 4),,,
1633705391,43,4,Detector Off  (Veh Det #13),,,
1633705391,81,13,Ped Begin Don’t Walk  (Ped 4),,,
1633705393,23,4,Detector Off  (Veh Det #12),,,
1633705393,81,12,Detector Off  (Veh Det #4),,,
1633705393,81,4,Phase Green Term  (Phase 4),,,
1633705393,7,4,Phase Begin Yellow Cl  (Phase 4),,,
1633705393,8,4,Phase Force Off  (Phase 4),,,
1633705393,6,4,Phase Call Dropped  (Phase 4),,,
1633705394,44,4,Phase Check  (Phase 4),,,
1633705394,2,4,Phase Call Registered  (Phase 4),,,
1633705395,43,4,Phase Omit On  (Phase 1),,,
1633705397,46,1,Phase End Yellow Cl  (Phase 4),,,
1633705397,9,4,Phase Begin Red Cl  (Phase 4),,,
1633705398,10,4,Phase Inactive  (Phase 4),,,
1633705398,12,4,Phase End Red Cl  (Phase 4),,,
1633705398,11,4,Phase On  (Phase 1),,,
1633705398,0,1,Phase Begin Green  (Phase 1),,,
1633705398,1,1,Overlap Begin Green  (Overlap  (Overlap A),,,
1633705398,61,1,Barrier Term  (Preceding Phase 1),,,
1633705399,31,1,Detector On  (Veh Det #12),,,
1633705402,82,12,Detector Off  (Veh Det #12),,,
1633705403,81,12,Detector On  (Veh Det #14),,,
1633705404,82,14,Phase Min Complete  (Phase 1),,,
1633705406,3,1,Detector Off  (Veh Det #1),,,
1633705406,81,1,Phase Call Dropped  (Phase 1),,,
1633705406,44,1,Phase Green Term  (Phase 1),,,
1633705406,7,1,Phase Begin Yellow Cl  (Phase 1),,,
1633705406,8,1,Phase Force Off  (Phase 1),,,
1633705407,6,1,Detector On  (Veh Det #16),,,
1633705407,82,16,Detector On  (Veh Det #1),,,
1633705407,82,1,Phase Check  (Phase 1),,,
1633705407,2,1,Phase Call Registered  (Phase 1),,,
1633705407,43,1,Detector Off  (Veh Det #16),,,
1633705407,81,16,Detector On  (Veh Det #12),,,
1633705408,82,12,Detector On  (Veh Det #10),,,
1633705409,82,10,Detector Off  (Veh Det #10),,,
1633705409,81,10,Detector Off  (Veh Det #12),,,
1633705409,81,12,Detector Off  (Veh Det #14),,,
1633705410,81,14,Detector Off  (Veh Det #1),,,
1633705410,81,1,Phase Call Dropped  (Phase 1),,,
1633705410,44,1,Phase End Yellow Cl  (Phase 1),,,
1633705410,9,1,Phase Begin Red Cl  (Phase 1),,,
1633705411,10,1,Coord Cycle State,,,
1633705411,150,5,Phase Inactive  (Phase 1),,,
1633705411,12,1,Phase End Red Cl  (Phase 1),,,
1633705411,11,1,Phase On  (Phase 2),,,
1633705411,0,2,Phase Begin Green  (Phase 2),,,
1633705411,1,2,Ped Begin Walk  (Ped 2),,,
1633705411,21,2,Bike Call Off  (Phase 2),,,
1633705411,1102,2,Ped Omit On  (Ped 1),,,
1633705412,48,1,Coord Cycle State,,,
1633705412,150,1,Bike Call On  (Phase 2),,,
1633705419,1103,2,Detector On  (Veh Det #12),,,
1633705419,82,12,Detector Off  (Veh Det #11),,,
1633705419,81,11,Phase Min Complete  (Phase 2),,,
1633705420,3,2,Detector Off  (Veh Det #12),,,
1633705420,81,12,Detector On  (Veh Det #14),,,
1633705422,82,14,Detector Off  (Veh Det #2),,,
1633705422,81,2,Detector On  (Veh Det #4),,,
1633705423,82,4,Ped Begin Clearance  (Ped 2),,,
1633705423,22,2,Phase Hold Released  (Phase 2),,,
1633705423,42,2,Phase Omit On  (Phase 2),,,
1633705424,46,2,Detector Off  (Veh Det #14),,,
1633705424,81,14,Detector On  (Veh Det #11),,,
1633705424,82,11,Detector On  (Veh Det #2),,,
1633705425,82,2,Detector On  (Veh Det #16),,,
1633705425,82,16,Detector On  (Veh Det #15),,,
1633705425,82,15,Detector On  (Veh Det #1),,,
1633705425,82,1,Phase Check  (Phase 1),,,
1633705425,2,1,Phase Call Registered  (Phase 1),,,
1633705425,43,1,Detector Off  (Veh Det #16),,,
1633705425,81,16,Detector Off  (Veh Det #11),,,
1633705426,81,11,Detector Off  (Veh Det #15),,,
1633705428,81,15,Detector Off  (Veh Det #2),,,
1633705429,81,2,Detector On  (Veh Det #11),,,
1633705429,82,11,Detector On  (Veh Det #2),,,
1633705429,82,2,Detector On  (Veh Det #12),,,
1633705430,82,12,Detector Off  (Veh Det #12),,,
1633705430,81,12,Detector Off  (Veh Det #11),,,
1633705431,81,11,Detector On  (Veh Det #9),,,
1633705431,82,9,Detector On  (Veh Det #16),,,
1633705431,82,16,Detector Off  (Veh Det #9),,,
1633705432,81,9,Detector Off  (Veh Det #2),,,
1633705432,81,2,Detector On  (Veh Det #10),,,
1633705433,82,10,Detector Off  (Veh Det #16),,,
1633705433,81,16,Detector On  (Veh Det #2),,,
1633705433,82,2,Detector On  (Veh Det #11),,,
1633705433,82,11,Detector On  (Veh Det #9),,,
1633705434,82,9,Detector Off  (Veh Det #10),,,
1633705434,81,10,Detector Off  (Veh Det #9),,,
1633705434,81,9,Detector Off  (Veh Det #11),,,
1633705435,81,11,Detector On  (Veh Det #15),,,
1633705437,82,15,Detector On  (Veh Det #12),,,
1633705437,82,12,Detector Off  (Veh Det #2),,,
1633705437,81,2,Detector On  (Veh Det #2),,,
1633705437,82,2,Detector On  (Veh Det #16),,,
1633705438,82,16,Detector Off  (Veh Det #12),,,
1633705438,81,12,Detector On  (Veh Det #14),,,
1633705438,82,14,Detector Off  (Veh Det #16),,,
1633705438,81,16,Coord Phase Yield Pt  (Phase 4),,,
1633705438,151,4,Phase Green Term  (Phase 2),,,
1633705438,7,2,Phase Begin Yellow Cl  (Phase 2),,,
1633705438,8,2,Ped Begin Don’t Walk  (Ped 2),,,
1633705438,23,2,Phase Omit Off  (Phase 2),,,
1633705438,47,2,Phase Omit Off  (Phase 4),,,
1633705438,47,4,Ped Omit Off  (Ped 4),,,
1633705438,49,4,Overlap Begin Yellow Cl  (Overlap  (Overlap A),,,
1633705438,63,1,Coord Phase Yield Pt  (Phase 1),,,
1633705438,151,1,Coord Phase Yield Pt  (Phase 3),,,
1633705438,151,3,Phase Check  (Phase 2),,,
1633705438,2,2,Phase Omit Off  (Phase 1),,,
1633705438,47,1,Ped Omit Off  (Ped 1),,,
1633705439,49,1,Detector On  (Veh Det #11),,,
1633705440,82,11,Detector On  (Veh Det #10),,,
1633705440,82,10,Detector Off  (Veh Det #11),,,
1633705440,81,11,Detector On  (Veh Det #9),,,
1633705440,82,9,Detector Off  (Veh Det #9),,,
1633705440,81,9,Detector On  (Veh Det #9),,,
1633705440,82,9,Detector Off  (Veh Det #10),,,
